heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos
86.0,10.0,10.0,10.0,cresh07,78.3955,1294.0,51.0,26.3686,29.625,-0.9081431738250815,0.41865973753742775,0.7818314824680297,0.6234898018587336
82.0,10.0,10.0,11.0,cresh08,64.395,171.0,49.0,27.7522,28.75,-0.861629160441526,0.5075383629607038,0.7818314824680297,0.6234898018587336
84.0,10.0,10.0,11.0,cresh07,64.9765,172.0,51.0,27.9175,30.75,-0.814115518356319,0.58070295571094,0.7818314824680297,0.6234898018587336
76.0,10.0,10.0,10.0,cresh07,65.99,172.0,48.0,27.9007,31.125,-0.7826081568524141,0.6225146366376193,0.7818314824680297,0.6234898018587336
106.0,10.0,10.0,10.0,cresh08,71.092,16.0,59.0,29.9983,29.375,-0.7431448254773947,0.6691306063588578,0.7818314824680297,0.6234898018587336
77.0,10.0,10.0,10.0,cresh07,66.8513,172.0,48.0,27.9007,31.625,-0.740218127486832,0.6723668074346681,0.7818314824680297,0.6234898018587336
111.0,10.0,10.0,10.0,cresh07,81.9273,132.0,64.0,27.8638,27.875,0.48098876891938763,-0.8767267557075078,0.9749279121818236,-0.22252093395631434
76.0,9.0,11.0,10.0,cresh07,81.9455,120.0,68.0,28.205,30.25,0.4226182617406995,-0.9063077870366499,0.9749279121818236,-0.22252093395631434
84.0,9.0,11.0,10.0,cresh07,80.1803,123.0,65.0,28.4545,31.375,0.36243803828370175,-0.9320078692827984,0.9749279121818236,-0.22252093395631434
78.0,9.0,11.0,10.0,cresh07,72.0935,65.0,64.0,27.3501,31.375,0.3007057995042733,-0.9537169507482268,0.9749279121818236,-0.22252093395631434
104.0,10.0,11.0,10.0,cresh10,65.0749,1294.0,55.0,26.7932,28.75,0.28819626813408944,-0.9575713608048144,0.9749279121818236,-0.22252093395631434
78.0,9.0,10.0,10.0,cresh07,70.4165,77.0,65.0,27.6318,31.5,0.2334453638559055,-0.9723699203976766,0.9749279121818236,-0.22252093395631434
94.0,10.0,10.0,11.0,cresh05,73.837,147.0,69.0,28.9294,31.125,0.2249510543438652,-0.9743700647852351,0.9749279121818236,-0.22252093395631434
73.0,10.0,10.0,11.0,cresh05,62.4254,157.0,48.0,26.8014,30.625,0.2121776721564464,-0.9772311064626789,0.9749279121818236,-0.22252093395631434
69.0,10.0,10.0,9.0,cresh06,53.0844,72.0,44.0,24.2849,28.625,0.19509032201612816,-0.9807852804032304,0.9749279121818236,-0.22252093395631434
62.0,10.0,10.0,9.0,cresh06,53.0844,72.0,44.0,24.2849,28.625,0.19509032201612816,-0.9807852804032304,0.9749279121818236,-0.22252093395631434
63.0,10.0,10.0,9.0,cresh06,53.0917,71.0,44.0,24.2564,28.5,0.19509032201612816,-0.9807852804032304,0.9749279121818236,-0.22252093395631434
68.0,10.0,10.0,9.0,cresh06,53.0917,71.0,44.0,24.2564,28.5,0.19080899537654497,-0.981627183447664,0.9749279121818236,-0.22252093395631434
76.0,9.0,11.0,10.0,cresh07,71.65100000000001,83.0,64.0,27.5869,31.75,0.1822355254921477,-0.9832549075639545,0.9749279121818236,-0.22252093395631434
61.0,10.0,10.0,9.0,cresh06,52.8885,71.0,45.0,24.4175,28.875,0.13052619222005155,-0.9914448613738104,0.9749279121818236,-0.22252093395631434
62.0,10.0,10.0,11.0,cresh05,62.4083,165.0,47.0,26.8151,31.0,0.11753739745783755,-0.9930684569549263,0.9749279121818236,-0.22252093395631434
111.0,9.0,11.0,11.0,cresh02,62.2027,211.0,46.0,26.8467,29.25,0.07845909572784507,-0.996917333733128,0.9749279121818236,-0.22252093395631434
65.0,10.0,10.0,9.0,cresh06,52.6464,70.0,44.0,24.4481,28.75,0.06540312923014312,-0.9978589232386035,0.9749279121818236,-0.22252093395631434
66.0,10.0,10.0,11.0,cresh05,62.1249,347.0,46.0,26.8919,31.25,0.05669278756337766,-0.9983916705573488,0.9749279121818236,-0.22252093395631434
72.0,10.0,10.0,11.0,cresh05,62.0166,330.0,46.0,26.874000000000002,31.25,0.04797812852134419,-0.9988483864849507,0.9749279121818236,-0.22252093395631434
75.0,9.0,10.0,10.0,cresh07,72.6836,178.0,65.0,29.259,31.375,0.043619387365336076,-0.9990482215818578,0.9749279121818236,-0.22252093395631434
62.0,10.0,10.0,9.0,cresh06,52.7291,72.0,44.0,24.4344,28.75,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434
69.0,10.0,10.0,10.0,cresh05,61.7161,313.0,49.0,26.9783,30.875,-0.021814885034560975,-0.9997620270799091,0.9749279121818236,-0.22252093395631434
70.0,10.0,10.0,11.0,cresh05,61.7161,313.0,49.0,26.9783,30.875,-0.021814885034560975,-0.9997620270799091,0.9749279121818236,-0.22252093395631434
72.0,9.0,11.0,10.0,cresh07,67.801,89.0,67.0,28.5872,31.75,-0.026176948307873177,-0.9996573249755573,0.9749279121818236,-0.22252093395631434
73.0,10.0,10.0,10.0,cresh01,61.7295,333.0,46.0,26.9783,28.625,-0.03925981575906871,-0.9992290362407229,0.9749279121818236,-0.22252093395631434
66.0,10.0,10.0,11.0,cresh05,61.5883,374.0,48.0,27.0099,30.875,-0.05669278756337741,-0.9983916705573488,0.9749279121818236,-0.22252093395631434
75.0,9.0,11.0,10.0,cresh07,69.9475,210.0,64.0,29.5232,31.75,-0.05669278756337741,-0.9983916705573488,0.9749279121818236,-0.22252093395631434
67.0,10.0,10.0,9.0,cresh06,52.3678,75.0,44.0,24.4765,28.75,-0.06540312923014287,-0.9978589232386035,0.9749279121818236,-0.22252093395631434
59.0,10.0,10.0,10.0,cresh01,61.4375,430.0,46.0,27.0825,28.75,-0.09150161866340233,-0.9958049275746618,0.9749279121818236,-0.22252093395631434
56.0,10.0,10.0,9.0,cresh06,52.5381,67.0,44.0,24.2986,28.25,-0.13052619222005132,-0.9914448613738105,0.9749279121818236,-0.22252093395631434
68.0,9.0,10.0,10.0,cresh07,69.4304,89.0,67.0,28.6894,31.5,-0.13917310096006552,-0.9902680687415703,0.9749279121818236,-0.22252093395631434
60.0,10.0,10.0,10.0,cresh01,61.2051,349.0,46.0,27.2005,28.625,-0.14349262199117913,-0.9896513868196702,0.9749279121818236,-0.22252093395631434
80.0,10.0,10.0,11.0,cresh10,61.257,1294.0,56.0,27.5316,29.5,-0.16934950384902459,-0.9855560590580777,0.9749279121818236,-0.22252093395631434
79.0,9.0,10.0,10.0,cresh07,68.5574,98.0,68.0,28.5559,31.5,-0.19080899537654475,-0.981627183447664,0.9749279121818236,-0.22252093395631434
60.0,10.0,10.0,9.0,cresh06,52.5771,70.0,44.0,24.2986,27.875,-0.19509032201612836,-0.9807852804032304,0.9749279121818236,-0.22252093395631434
55.0,10.0,10.0,10.0,cresh01,61.3499,334.0,52.0,27.1868,28.375,-0.19509032201612836,-0.9807852804032304,0.9749279121818236,-0.22252093395631434
65.0,10.0,10.0,10.0,cresh01,61.4557,283.0,49.0,27.2173,28.375,-0.25038000405444155,-0.9681476403781077,0.9749279121818236,-0.22252093395631434
