heartRate_cozie,light_cozie,noise_cozie,user_id,time-numeric,thermal_cozie
65.0,10.0,10.0,cresh05,12.1,10.0
83.0,10.0,10.0,cresh04,12.2,10.0
82.0,9.0,10.0,cresh13,12.38,10.0
108.0,10.0,10.0,cresh05,13.37,10.0
67.0,10.0,10.0,cresh05,13.58,10.0
70.0,10.0,10.0,cresh06,14.1,10.0
68.0,10.0,10.0,cresh06,14.16,10.0
66.0,10.0,10.0,cresh06,14.31,10.0
62.0,10.0,10.0,cresh06,14.46,10.0
105.0,10.0,10.0,cresh14,14.57,11.0
65.0,10.0,10.0,cresh06,15.16,9.0
65.0,10.0,10.0,cresh05,15.27,10.0
62.0,10.0,10.0,cresh06,15.31,9.0
80.0,10.0,10.0,cresh05,15.38,10.0
64.0,10.0,10.0,cresh06,15.46,10.0
66.0,10.0,10.0,cresh06,16.1,10.0
96.0,10.0,10.0,cresh14,16.5,10.0
82.0,10.0,10.0,cresh04,16.5,10.0
64.0,10.0,10.0,cresh06,16.16,9.0
65.0,10.0,10.0,cresh06,16.16,9.0
90.0,10.0,10.0,cresh14,16.22,10.0
64.0,10.0,10.0,cresh06,16.31,9.0
88.0,10.0,10.0,cresh14,16.39,10.0
107.0,10.0,10.0,cresh06,16.53,11.0
79.0,10.0,10.0,cresh06,17.3,11.0
113.0,10.0,10.0,cresh10,17.5,11.0
77.0,10.0,10.0,cresh04,17.9,10.0
75.0,10.0,10.0,cresh04,17.15,10.0
90.0,10.0,10.0,cresh10,17.16,11.0
98.0,10.0,10.0,cresh14,17.21,10.0
76.0,10.0,10.0,cresh04,17.25,10.0
74.0,10.0,10.0,cresh04,17.35,10.0
85.0,10.0,10.0,cresh14,17.36,10.0
83.0,10.0,10.0,cresh10,17.41,11.0
72.0,10.0,10.0,cresh04,17.45,10.0
78.0,10.0,10.0,cresh10,17.54,10.0
91.0,10.0,10.0,cresh14,18.2,10.0
80.0,10.0,10.0,cresh10,18.13,10.0
93.0,10.0,10.0,cresh14,18.15,10.0
69.0,10.0,10.0,cresh10,18.24,10.0
92.0,10.0,10.0,cresh14,18.3,10.0
68.0,10.0,10.0,cresh10,18.33,10.0
88.0,9.0,11.0,cresh13,18.58,11.0
101.0,9.0,11.0,cresh13,19.31,11.0
64.0,10.0,10.0,cresh05,9.31,10.0
101.0,9.0,11.0,cresh01,9.44,11.0
64.0,10.0,10.0,cresh06,9.46,10.0
61.0,10.0,10.0,cresh05,9.53,10.0
61.0,10.0,10.0,cresh05,9.55,10.0
59.0,10.0,10.0,cresh06,10.0,10.0
81.0,9.0,10.0,cresh01,10.1,11.0
63.0,10.0,10.0,cresh06,10.15,10.0
71.0,9.0,10.0,cresh01,10.17,11.0
74.0,10.0,10.0,cresh05,10.18,10.0
60.0,10.0,10.0,cresh06,10.3,10.0
77.0,9.0,10.0,cresh01,10.32,10.0
73.0,10.0,10.0,cresh05,10.35,10.0
55.0,10.0,10.0,cresh06,10.45,10.0
68.0,9.0,11.0,cresh01,10.47,10.0
59.0,10.0,10.0,cresh06,11.0,9.0
74.0,9.0,10.0,cresh01,11.2,10.0
61.0,10.0,10.0,cresh05,11.5,10.0
72.0,10.0,10.0,cresh05,11.14,10.0
60.0,10.0,10.0,cresh06,11.15,9.0
70.0,9.0,10.0,cresh01,11.17,10.0
59.0,10.0,10.0,cresh05,11.19,10.0
64.0,10.0,10.0,cresh01,11.32,10.0
68.0,10.0,10.0,cresh05,11.43,9.0
63.0,9.0,10.0,cresh01,11.48,10.0
74.0,10.0,10.0,cresh05,11.51,9.0
