heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,time-numeric
105.0,10.0,11.0,10.0,cresh14,14.2
63.0,10.0,10.0,10.0,cresh01,14.3
90.0,10.0,10.0,10.0,cresh03,14.11
66.0,10.0,10.0,11.0,cresh05,14.16
67.0,10.0,11.0,10.0,cresh01,14.18
102.0,11.0,10.0,10.0,cresh03,14.24
60.0,10.0,10.0,10.0,cresh01,14.34
109.0,10.0,10.0,11.0,cresh14,14.34
76.0,10.0,11.0,10.0,cresh15,14.35
91.0,11.0,10.0,10.0,cresh03,14.38
55.0,10.0,11.0,10.0,cresh01,14.49
71.0,10.0,11.0,11.0,cresh15,14.51
72.0,11.0,10.0,10.0,cresh03,14.51
60.0,10.0,10.0,10.0,cresh01,15.4
68.0,10.0,11.0,10.0,cresh15,15.11
79.0,11.0,10.0,10.0,cresh03,15.13
79.0,11.0,,10.0,cresh03,15.17
65.0,10.0,10.0,10.0,cresh01,15.20
70.0,11.0,10.0,9.0,cresh03,15.28
57.0,10.0,10.0,10.0,cresh01,15.35
77.0,10.0,,9.0,cresh03,15.41
63.0,10.0,10.0,10.0,cresh01,15.50
62.0,10.0,10.0,9.0,cresh01,16.5
85.0,11.0,10.0,9.0,cresh01,16.20
64.0,10.0,10.0,11.0,cresh12,16.35
66.0,10.0,10.0,10.0,cresh01,16.35
65.0,10.0,10.0,11.0,cresh15,16.48
63.0,11.0,10.0,9.0,cresh01,16.51
63.0,10.0,10.0,10.0,cresh15,17.4
95.0,9.0,10.0,11.0,cresh13,17.4
53.0,10.0,10.0,9.0,cresh01,17.6
63.0,10.0,10.0,11.0,cresh15,17.19
64.0,10.0,10.0,10.0,cresh15,17.35
63.0,10.0,10.0,10.0,cresh12,17.43
91.0,10.0,10.0,10.0,cresh04,17.48
66.0,10.0,10.0,10.0,cresh15,17.52
73.0,10.0,10.0,10.0,cresh12,17.56
92.0,10.0,10.0,10.0,cresh04,17.59
91.0,10.0,10.0,10.0,cresh14,18.9
61.0,10.0,10.0,10.0,cresh12,18.15
79.0,10.0,10.0,10.0,cresh04,18.22
84.0,10.0,11.0,10.0,cresh14,18.28
65.0,10.0,10.0,10.0,cresh15,18.43
80.0,10.0,10.0,10.0,cresh14,18.46
85.0,10.0,10.0,10.0,cresh15,18.59
75.0,10.0,10.0,11.0,cresh12,19.40
84.0,9.0,10.0,10.0,cresh13,20.6
67.0,10.0,10.0,10.0,cresh05,9.58
103.0,10.0,10.0,10.0,cresh04,10.8
96.0,10.0,10.0,10.0,cresh05,10.40
90.0,10.0,10.0,10.0,cresh04,11.2
122.0,10.0,10.0,10.0,cresh14,11.22
79.0,10.0,10.0,10.0,cresh04,11.34
90.0,10.0,10.0,10.0,cresh05,11.38
90.0,10.0,10.0,10.0,cresh05,11.38
65.0,10.0,10.0,10.0,cresh05,12.1
83.0,10.0,10.0,10.0,cresh04,12.20
82.0,9.0,10.0,10.0,cresh13,12.38
108.0,10.0,10.0,10.0,cresh05,13.37
100.0,11.0,10.0,10.0,cresh03,13.44
87.0,10.0,10.0,10.0,cresh03,13.53
93.0,10.0,10.0,10.0,cresh03,13.54
67.0,10.0,10.0,10.0,cresh05,13.58
70.0,10.0,10.0,10.0,cresh06,14.1
94.0,10.0,11.0,10.0,cresh03,14.7
68.0,10.0,10.0,10.0,cresh06,14.16
66.0,10.0,10.0,10.0,cresh06,14.31
90.0,11.0,10.0,10.0,cresh03,14.41
62.0,10.0,10.0,10.0,cresh06,14.46
105.0,10.0,10.0,11.0,cresh14,14.57
65.0,10.0,10.0,9.0,cresh06,15.16
65.0,10.0,10.0,10.0,cresh05,15.27
62.0,10.0,10.0,9.0,cresh06,15.31
80.0,10.0,10.0,10.0,cresh05,15.38
64.0,10.0,10.0,10.0,cresh06,15.46
66.0,10.0,10.0,10.0,cresh06,16.1
96.0,10.0,10.0,10.0,cresh14,16.5
82.0,10.0,10.0,10.0,cresh04,16.5
64.0,10.0,10.0,9.0,cresh06,16.16
65.0,10.0,10.0,9.0,cresh06,16.16
90.0,10.0,10.0,10.0,cresh14,16.22
64.0,10.0,10.0,9.0,cresh06,16.31
88.0,10.0,10.0,10.0,cresh14,16.39
107.0,10.0,10.0,11.0,cresh06,16.53
79.0,10.0,10.0,11.0,cresh06,17.3
113.0,10.0,10.0,11.0,cresh10,17.5
