heartRate_cozie,light_cozie,noise_cozie,user_id,temperature_mbient,time-numeric,thermal_cozie
66.0,10.0,10.0,cresh06,28.25,16.1,10.0
96.0,10.0,10.0,cresh14,28.75,16.5,10.0
82.0,10.0,10.0,cresh04,28.75,16.5,10.0
64.0,10.0,10.0,cresh06,28.375,16.16,9.0
65.0,10.0,10.0,cresh06,28.375,16.16,9.0
90.0,10.0,10.0,cresh14,29.125,16.22,10.0
64.0,10.0,10.0,cresh06,27.875,16.31,9.0
88.0,10.0,10.0,cresh14,29.375,16.39,10.0
107.0,10.0,10.0,cresh06,28.875,16.53,11.0
79.0,10.0,10.0,cresh06,30.75,17.3,11.0
113.0,10.0,10.0,cresh10,30.25,17.5,11.0
77.0,10.0,10.0,cresh04,28.5,17.9,10.0
75.0,10.0,10.0,cresh04,28.75,17.15,10.0
90.0,10.0,10.0,cresh10,30.25,17.16,11.0
98.0,10.0,10.0,cresh14,28.625,17.21,10.0
76.0,10.0,10.0,cresh04,28.75,17.25,10.0
74.0,10.0,10.0,cresh04,28.5,17.35,10.0
85.0,10.0,10.0,cresh14,28.25,17.36,10.0
83.0,10.0,10.0,cresh10,30.375,17.41,11.0
72.0,10.0,10.0,cresh04,28.75,17.45,10.0
78.0,10.0,10.0,cresh10,30.25,17.54,10.0
91.0,10.0,10.0,cresh14,29.75,18.2,10.0
80.0,10.0,10.0,cresh10,29.875,18.13,10.0
93.0,10.0,10.0,cresh14,28.5,18.15,10.0
69.0,10.0,10.0,cresh10,30.125,18.24,10.0
92.0,10.0,10.0,cresh14,28.375,18.3,10.0
68.0,10.0,10.0,cresh10,30.125,18.33,10.0
88.0,9.0,11.0,cresh13,28.5,18.58,11.0
101.0,9.0,11.0,cresh13,28.375,19.31,11.0
64.0,10.0,10.0,cresh05,29.375,9.31,10.0
101.0,9.0,11.0,cresh01,30.75,9.44,11.0
64.0,10.0,10.0,cresh06,27.25,9.46,10.0
61.0,10.0,10.0,cresh05,28.875,9.53,10.0
61.0,10.0,10.0,cresh05,28.75,9.55,10.0
59.0,10.0,10.0,cresh06,28.0,10.0,10.0
81.0,9.0,10.0,cresh01,29.875,10.1,11.0
63.0,10.0,10.0,cresh06,28.25,10.15,10.0
71.0,9.0,10.0,cresh01,30.625,10.17,11.0
74.0,10.0,10.0,cresh05,28.75,10.18,10.0
60.0,10.0,10.0,cresh06,28.125,10.3,10.0
77.0,9.0,10.0,cresh01,30.25,10.32,10.0
73.0,10.0,10.0,cresh05,28.75,10.35,10.0
55.0,10.0,10.0,cresh06,28.125,10.45,10.0
68.0,9.0,11.0,cresh01,30.625,10.47,10.0
59.0,10.0,10.0,cresh06,27.875,11.0,9.0
74.0,9.0,10.0,cresh01,30.5,11.2,10.0
61.0,10.0,10.0,cresh05,28.875,11.5,10.0
72.0,10.0,10.0,cresh05,28.75,11.14,10.0
60.0,10.0,10.0,cresh06,27.375,11.15,9.0
70.0,9.0,10.0,cresh01,30.5,11.17,10.0
59.0,10.0,10.0,cresh05,29.25,11.19,10.0
64.0,10.0,10.0,cresh01,30.25,11.32,10.0
68.0,10.0,10.0,cresh05,28.75,11.43,9.0
63.0,9.0,10.0,cresh01,30.5,11.48,10.0
74.0,10.0,10.0,cresh05,28.75,11.51,9.0
110.0,10.0,10.0,cresh05,29.25,11.55,10.0
59.0,9.0,10.0,cresh01,30.125,12.3,10.0
72.0,10.0,,cresh10,30.625,12.13,10.0
60.0,9.0,10.0,cresh01,30.375,12.18,10.0
93.0,9.0,10.0,cresh13,29.375,12.19,10.0
59.0,9.0,10.0,cresh01,30.0,12.33,10.0
87.0,10.0,10.0,cresh10,29.375,12.34,10.0
76.0,10.0,10.0,cresh07,28.75,12.35,10.0
74.0,10.0,10.0,cresh07,28.75,12.39,10.0
64.0,10.0,10.0,cresh01,30.25,12.48,10.0
76.0,10.0,10.0,cresh10,29.375,12.5,10.0
75.0,10.0,10.0,cresh07,28.0,13.0,10.0
59.0,10.0,10.0,cresh01,30.25,13.4,10.0
80.0,10.0,10.0,cresh10,29.0,13.4,10.0
77.0,10.0,10.0,cresh07,28.125,13.1,10.0
75.0,10.0,10.0,cresh10,28.625,13.17,10.0
64.0,10.0,10.0,cresh01,30.25,13.19,10.0
77.0,10.0,10.0,cresh07,27.25,13.26,10.0
62.0,10.0,10.0,cresh01,30.125,13.34,11.0
81.0,10.0,10.0,cresh07,28.125,13.35,10.0
101.0,10.0,,cresh08,31.375,13.4,10.0
76.0,10.0,10.0,cresh10,28.375,13.4,11.0
78.0,10.0,,cresh08,30.125,13.43,11.0
79.0,10.0,,cresh08,29.75,13.44,11.0
89.0,10.0,11.0,cresh13,29.625,13.44,11.0
79.0,10.0,11.0,cresh08,30.75,13.5,11.0
73.0,10.0,10.0,cresh10,28.25,13.55,10.0
91.0,10.0,10.0,cresh04,29.375,13.59,10.0
64.0,10.0,10.0,cresh08,28.875,13.59,10.0
87.0,10.0,10.0,cresh14,29.875,14.0,10.0
91.0,10.0,10.0,cresh05,29.375,14.6,10.0
111.0,10.0,10.0,cresh11,32.25,14.6,11.0
70.0,10.0,10.0,cresh10,28.25,14.1,10.0
75.0,10.0,10.0,cresh08,26.625,14.1,10.0
100.0,10.0,10.0,cresh14,27.875,14.16,10.0
87.0,10.0,10.0,cresh08,28.625,14.19,10.0
78.0,10.0,11.0,cresh10,28.625,14.19,10.0
77.0,10.0,10.0,cresh08,28.25,14.22,10.0
83.0,10.0,10.0,cresh10,28.75,14.24,10.0
80.0,10.0,10.0,cresh10,28.875,14.27,10.0
74.0,10.0,10.0,cresh10,28.375,14.4,10.0
90.0,10.0,10.0,cresh13,28.0,14.41,10.0
70.0,10.0,10.0,cresh07,28.375,14.42,9.0
88.0,10.0,10.0,cresh14,27.625,14.48,10.0
80.0,10.0,10.0,cresh07,28.375,14.53,10.0
67.0,10.0,10.0,cresh10,28.125,14.55,10.0
98.0,10.0,11.0,cresh12,32.375,14.55,11.0
86.0,10.0,10.0,cresh04,29.125,15.0,10.0
79.0,10.0,10.0,cresh07,27.5,15.3,9.0
65.0,10.0,10.0,cresh10,27.625,15.1,10.0
99.0,11.0,10.0,cresh11,32.125,15.12,11.0
94.0,10.0,10.0,cresh04,29.0,15.12,10.0
113.0,10.0,10.0,cresh05,31.875,15.12,11.0
67.0,10.0,11.0,cresh12,31.5,15.13,10.0
76.0,10.0,10.0,cresh14,27.625,15.13,9.0
73.0,10.0,10.0,cresh07,28.125,15.14,10.0
78.0,10.0,10.0,cresh05,30.5,15.19,11.0
88.0,10.0,10.0,cresh04,28.5,15.23,10.0
75.0,10.0,10.0,cresh07,28.125,15.24,10.0
66.0,10.0,10.0,cresh10,28.125,15.25,10.0
68.0,10.0,11.0,cresh12,31.5,15.32,10.0
88.0,10.0,10.0,cresh04,28.5,15.33,10.0
102.0,10.0,10.0,cresh14,27.625,15.34,10.0
100.0,10.0,10.0,cresh09,28.5,15.34,11.0
77.0,10.0,11.0,cresh07,28.5,15.34,10.0
89.0,10.0,10.0,cresh11,30.125,15.38,11.0
67.0,10.0,10.0,cresh10,28.0,15.4,9.0
76.0,10.0,10.0,cresh05,30.5,15.4,10.0
82.0,10.0,10.0,cresh04,30.625,15.42,10.0
79.0,10.0,10.0,cresh07,28.75,15.44,10.0
77.0,10.0,11.0,cresh12,31.875,15.48,11.0
82.0,10.0,10.0,cresh11,30.25,15.49,10.0
70.0,10.0,10.0,cresh05,30.125,15.51,10.0
83.0,10.0,10.0,cresh04,28.75,15.53,10.0
109.0,10.0,10.0,cresh07,29.0,15.54,10.0
90.0,10.0,10.0,cresh09,27.625,15.58,10.0
85.0,10.0,10.0,cresh04,28.75,16.2,10.0
92.0,10.0,10.0,cresh14,27.75,16.4,10.0
80.0,10.0,10.0,cresh07,30.0,16.7,10.0
76.0,10.0,10.0,cresh04,28.75,16.16,10.0
90.0,9.0,11.0,cresh13,28.25,16.19,10.0
76.0,10.0,10.0,cresh07,29.875,16.22,10.0
91.0,9.0,10.0,cresh05,30.375,16.22,11.0
91.0,9.0,10.0,cresh11,29.625,16.22,10.0
84.0,10.0,10.0,cresh14,27.5,16.25,9.0
70.0,9.0,10.0,cresh05,30.0,16.26,11.0
90.0,10.0,10.0,cresh04,28.75,16.27,10.0
76.0,10.0,10.0,cresh07,30.0,16.33,10.0
84.0,11.0,10.0,cresh11,29.875,16.34,10.0
77.0,10.0,10.0,cresh07,30.125,16.42,10.0
68.0,11.0,10.0,cresh11,29.875,16.45,10.0
69.0,10.0,10.0,cresh05,29.875,16.45,10.0
76.0,10.0,10.0,cresh07,30.125,16.5,10.0
68.0,10.0,10.0,cresh05,30.0,16.53,10.0
77.0,11.0,10.0,cresh11,30.0,16.55,10.0
98.0,10.0,10.0,cresh14,27.5,17.0,10.0
99.0,10.0,10.0,cresh14,27.875,17.0,10.0
81.0,10.0,10.0,cresh07,29.875,17.6,10.0
71.0,10.0,10.0,cresh07,29.625,17.1,10.0
76.0,11.0,10.0,cresh11,29.25,17.23,10.0
86.0,10.0,10.0,cresh14,27.5,17.42,9.0
63.0,10.0,10.0,cresh05,29.75,18.5,10.0
99.0,10.0,10.0,cresh14,27.75,18.7,9.0
89.0,10.0,11.0,cresh13,28.125,18.22,10.0
