heartRate_cozie,light_cozie,noise_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,time-numeric,thermal_cozie
62.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,52.7291,72.0,44.0,24.4344,28.75,12.0,9.0
69.0,10.0,10.0,cresh05,IRC_LIBRARY_1,61.7161,313.0,49.0,26.9783,30.875,12.5,10.0
70.0,10.0,10.0,cresh05,IRC_LIBRARY_1,61.7161,313.0,49.0,26.9783,30.875,12.5,11.0
72.0,9.0,11.0,cresh07,CAFE,67.801,89.0,67.0,28.5872,31.75,12.6,10.0
73.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.7295,333.0,46.0,26.9783,28.625,12.9,10.0
66.0,10.0,10.0,cresh05,IRC_LIBRARY_1,61.5883,374.0,48.0,27.0099,30.875,12.13,11.0
75.0,9.0,11.0,cresh07,OPEN_EXHIBITION_SPACE_2,69.9475,210.0,64.0,29.5232,31.75,12.13,10.0
67.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,52.3678,75.0,44.0,24.4765,28.75,12.15,9.0
59.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.4375,430.0,46.0,27.0825,28.75,12.21,10.0
56.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,52.5381,67.0,44.0,24.2986,28.25,12.3,9.0
68.0,9.0,10.0,cresh07,CAFE,69.4304,89.0,67.0,28.6894,31.5,12.32,10.0
60.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.2051,349.0,46.0,27.2005,28.625,12.33,10.0
80.0,10.0,10.0,cresh10,EXECUTIVE_SEMINAR_ROOM_A,61.257,1294.0,56.0,27.5316,29.5,12.39,11.0
79.0,9.0,10.0,cresh07,CAFE,68.5574,98.0,68.0,28.5559,31.5,12.44,10.0
60.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,52.5771,70.0,44.0,24.2986,27.875,12.45,9.0
55.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.3499,334.0,52.0,27.1868,28.375,12.45,10.0
65.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.4557,283.0,49.0,27.2173,28.375,12.58,10.0
63.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,52.5734,67.0,45.0,24.4765,28.125,13.0,9.0
83.0,9.0,10.0,cresh07,OPEN_EXHIBITION_SPACE_2,85.6987,145.0,66.0,27.9996,30.875,13.1,10.0
76.0,10.0,11.0,cresh10,EXECUTIVE_SEMINAR_ROOM_A,62.1573,1294.0,55.0,27.6203,29.0,13.7,10.0
61.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.1282,70.0,44.0,24.4618,28.0,13.15,9.0
87.0,9.0,10.0,cresh01,CAFE,73.2948,99.0,64.0,28.2054,28.375,13.15,10.0
77.0,10.0,10.0,cresh01,CAFE,71.7831,98.0,68.0,28.1606,28.5,13.2,10.0
61.0,9.0,10.0,cresh01,CAFE,72.0376,90.0,70.0,28.0573,28.625,13.31,10.0
91.0,10.0,10.0,cresh07,ENERGY_LAB_1,68.282,53.0,47.0,25.9864,30.75,13.34,10.0
72.0,10.0,10.0,cresh05,IRC_LIBRARY_1,61.8049,326.0,48.0,27.3215,31.25,13.37,11.0
56.0,10.0,11.0,cresh01,IRC_LIBRARY_1,61.7939,296.0,53.0,27.4121,28.25,13.47,10.0
105.0,10.0,11.0,cresh14,NEAR_DIC_STUDIO_1,59.8474,86.0,46.0,26.5287,29.125,14.2,10.0
63.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.8183,387.0,49.0,27.3805,28.125,14.3,10.0
66.0,10.0,10.0,cresh05,IRC_LIBRARY_1,61.5007,451.0,51.0,27.4563,30.75,14.16,11.0
67.0,10.0,11.0,cresh01,IRC_LIBRARY_1,61.5214,457.0,51.0,27.4258,28.125,14.18,10.0
60.0,10.0,10.0,cresh01,IRC_LIBRARY_1,61.345,502.0,54.0,27.4984,28.25,14.34,10.0
109.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,59.6661,94.0,48.0,26.6361,28.375,14.34,11.0
55.0,10.0,11.0,cresh01,IRC_LIBRARY_1,61.0652,553.0,48.0,27.5743,28.25,14.49,10.0
60.0,10.0,10.0,cresh01,IRC_LIBRARY_1,60.7769,492.0,47.0,27.6332,28.375,15.4,10.0
65.0,10.0,10.0,cresh01,IRC_LIBRARY_1,60.7027,384.0,48.0,27.6764,28.375,15.2,10.0
57.0,10.0,10.0,cresh01,IRC_LIBRARY_1,60.5323,530.0,51.0,27.7069,28.75,15.35,10.0
63.0,10.0,10.0,cresh01,IRC_LIBRARY_1,60.379,531.0,50.0,27.7522,28.75,15.5,10.0
62.0,10.0,10.0,cresh01,IRC_LIBRARY_1,59.9253,561.0,46.0,27.8554,28.75,16.5,9.0
85.0,11.0,10.0,cresh01,IRC_LIBRARY_1,59.3997,542.0,45.0,27.9765,29.0,16.2,9.0
64.0,10.0,10.0,cresh12,IRC_LIBRARY_1,59.6187,618.0,46.0,27.887,29.5,16.35,11.0
66.0,10.0,10.0,cresh01,IRC_LIBRARY_1,59.5943,867.0,48.0,27.9007,28.75,16.35,10.0
63.0,11.0,10.0,cresh01,IRC_LIBRARY_1,59.463,894.0,46.0,27.9007,28.625,16.51,9.0
