heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,room,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,temperature_mbient,time-numeric
66.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.4761,68.0,45.0,24.2712,28.625,12.45
89.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,61.181999999999995,84.0,47.0,26.3971,29.125,12.53
64.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.3849,68.0,45.0,24.3301,28.375,13.0
94.0,9.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,60.9496,84.0,49.0,26.3971,28.5,13.11
65.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,53.6428,71.0,44.0,24.1217,28.125,13.15
82.0,10.0,10.0,10.0,cresh05,BUDS_LAB,56.5614,227.0,42.0,22.7381,25.875,13.26
89.0,10.0,10.0,10.0,cresh05,BUDS_LAB,56.604,225.0,42.0,22.7549,26.625,13.28
67.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,53.3569,71.0,48.0,24.3754,28.125,13.30
84.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,60.5482,89.0,47.0,26.4834,29.5,13.55
107.0,10.0,10.0,10.0,cresh11,IRC_LIBRARY_1,62.3974,313.0,49.0,26.993000000000002,29.25,13.59
61.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,53.3313,70.0,45.0,24.805,27.625,14.0
73.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,62.1808,287.0,49.0,27.052,29.125,14.8
59.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,53.6014,66.0,44.0,24.7461,27.75,14.15
107.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,60.3012,89.0,65.0,26.5287,28.0,14.25
60.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,53.3508,65.0,44.0,24.6113,28.25,14.30
