heartRate_cozie,light_cozie,noise_cozie,thermal_cozie,user_id,room,temperature_mbient,time-numeric
63.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.5,11.15
68.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.5,11.16
76.0,9.0,11.0,10.0,cresh07,CAFE,31.75,11.18
61.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.875,11.30
62.0,10.0,10.0,11.0,cresh05,IRC_LIBRARY_1,31.0,11.33
65.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.75,11.45
66.0,10.0,10.0,11.0,cresh05,IRC_LIBRARY_1,31.25,11.47
72.0,10.0,10.0,11.0,cresh05,IRC_LIBRARY_1,31.25,11.49
75.0,9.0,10.0,10.0,cresh07,OPEN_EXHIBITION_SPACE_2,31.375,11.50
62.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.75,12.0
69.0,10.0,10.0,10.0,cresh05,IRC_LIBRARY_1,30.875,12.5
70.0,10.0,10.0,11.0,cresh05,IRC_LIBRARY_1,30.875,12.5
72.0,9.0,11.0,10.0,cresh07,CAFE,31.75,12.6
73.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.625,12.9
66.0,10.0,10.0,11.0,cresh05,IRC_LIBRARY_1,30.875,12.13
75.0,9.0,11.0,10.0,cresh07,OPEN_EXHIBITION_SPACE_2,31.75,12.13
67.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.75,12.15
59.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.75,12.21
56.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.25,12.30
68.0,9.0,10.0,10.0,cresh07,CAFE,31.5,12.32
60.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.625,12.33
80.0,10.0,10.0,11.0,cresh10,EXECUTIVE_SEMINAR_ROOM_A,29.5,12.39
79.0,9.0,10.0,10.0,cresh07,CAFE,31.5,12.44
60.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,27.875,12.45
55.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.375,12.45
65.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.375,12.58
63.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.125,13.0
83.0,9.0,10.0,10.0,cresh07,OPEN_EXHIBITION_SPACE_2,30.875,13.1
76.0,10.0,11.0,10.0,cresh10,EXECUTIVE_SEMINAR_ROOM_A,29.0,13.7
61.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.0,13.15
87.0,9.0,10.0,10.0,cresh01,CAFE,28.375,13.15
77.0,11.0,10.0,10.0,cresh03,IRC_LIBRARY_1,28.75,13.17
77.0,10.0,10.0,10.0,cresh01,CAFE,28.5,13.20
101.0,10.0,11.0,10.0,cresh15,IRC_LIBRARY_1,28.5,13.24
70.0,11.0,10.0,9.0,cresh03,IRC_LIBRARY_1,28.5,13.28
61.0,9.0,10.0,10.0,cresh01,CAFE,28.625,13.31
91.0,10.0,10.0,10.0,cresh07,ENERGY_LAB_1,30.75,13.34
72.0,10.0,10.0,11.0,cresh05,IRC_LIBRARY_1,31.25,13.37
84.0,10.0,11.0,10.0,cresh15,IRC_LIBRARY_1,28.25,13.42
56.0,10.0,11.0,10.0,cresh01,IRC_LIBRARY_1,28.25,13.47
73.0,10.0,11.0,10.0,cresh15,IRC_LIBRARY_1,28.5,13.59
105.0,10.0,11.0,10.0,cresh14,NEAR_DIC_STUDIO_1,29.125,14.2
63.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.125,14.3
90.0,10.0,10.0,10.0,cresh03,BUDS_LAB,27.625,14.11
66.0,10.0,10.0,11.0,cresh05,IRC_LIBRARY_1,30.75,14.16
67.0,10.0,11.0,10.0,cresh01,IRC_LIBRARY_1,28.125,14.18
102.0,11.0,10.0,10.0,cresh03,IRC_LIBRARY_1,28.5,14.24
60.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.25,14.34
109.0,10.0,10.0,11.0,cresh14,NEAR_DIC_STUDIO_1,28.375,14.34
76.0,10.0,11.0,10.0,cresh15,IRC_LIBRARY_1,28.75,14.35
91.0,11.0,10.0,10.0,cresh03,IRC_LIBRARY_1,28.75,14.38
55.0,10.0,11.0,10.0,cresh01,IRC_LIBRARY_1,28.25,14.49
71.0,10.0,11.0,11.0,cresh15,IRC_LIBRARY_1,29.0,14.51
72.0,11.0,10.0,10.0,cresh03,IRC_LIBRARY_1,29.0,14.51
60.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.375,15.4
68.0,10.0,11.0,10.0,cresh15,IRC_LIBRARY_1,29.25,15.11
79.0,11.0,10.0,10.0,cresh03,IRC_LIBRARY_1,28.75,15.13
79.0,11.0,,10.0,cresh03,IRC_LIBRARY_1,29.0,15.17
65.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.375,15.20
70.0,11.0,10.0,9.0,cresh03,IRC_LIBRARY_1,29.0,15.28
57.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.75,15.35
77.0,10.0,,9.0,cresh03,IRC_LIBRARY_1,28.5,15.41
63.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.75,15.50
62.0,10.0,10.0,9.0,cresh01,IRC_LIBRARY_1,28.75,16.5
85.0,11.0,10.0,9.0,cresh01,IRC_LIBRARY_1,29.0,16.20
64.0,10.0,10.0,11.0,cresh12,IRC_LIBRARY_1,29.5,16.35
66.0,10.0,10.0,10.0,cresh01,IRC_LIBRARY_1,28.75,16.35
65.0,10.0,10.0,11.0,cresh15,IRC_LIBRARY_1,29.0,16.48
63.0,11.0,10.0,9.0,cresh01,IRC_LIBRARY_1,28.625,16.51
63.0,10.0,10.0,10.0,cresh15,IRC_LIBRARY_1,29.25,17.4
95.0,9.0,10.0,11.0,cresh13,BUILDING_MATERIALS_LAB,28.375,17.4
53.0,10.0,10.0,9.0,cresh01,IRC_LIBRARY_1,28.5,17.6
63.0,10.0,10.0,11.0,cresh15,IRC_LIBRARY_1,30.0,17.19
64.0,10.0,10.0,10.0,cresh15,IRC_LIBRARY_1,29.375,17.35
63.0,10.0,10.0,10.0,cresh12,IRC_LIBRARY_1,30.125,17.43
91.0,10.0,10.0,10.0,cresh04,BUDS_LAB,28.5,17.48
66.0,10.0,10.0,10.0,cresh15,IRC_LIBRARY_1,29.125,17.52
73.0,10.0,10.0,10.0,cresh12,IRC_LIBRARY_1,29.75,17.56
92.0,10.0,10.0,10.0,cresh04,IRC_LIBRARY_1,29.125,17.59
91.0,10.0,10.0,10.0,cresh14,OPEN_EXHIBITION_SPACE_2,29.375,18.9
61.0,10.0,10.0,10.0,cresh12,IRC_LIBRARY_1,29.5,18.15
79.0,10.0,10.0,10.0,cresh04,IRC_LIBRARY_1,28.5,18.22
84.0,10.0,11.0,10.0,cresh14,EXECUTIVE_SEMINAR_ROOM_A,29.25,18.28
65.0,10.0,10.0,10.0,cresh15,IRC_LIBRARY_1,28.875,18.43
80.0,10.0,10.0,10.0,cresh14,EXECUTIVE_SEMINAR_ROOM_A,29.125,18.46
85.0,10.0,10.0,10.0,cresh15,IRC_LIBRARY_1,28.375,18.59
75.0,10.0,10.0,11.0,cresh12,OPEN_EXHIBITION_SPACE_2,30.375,19.40
84.0,9.0,10.0,10.0,cresh13,NEAR_DIC_STUDIO_1,27.625,20.6
67.0,10.0,10.0,10.0,cresh05,IRC_LIBRARY_1,30.0,9.58
103.0,10.0,10.0,10.0,cresh04,IRC_LIBRARY_1,28.75,10.8
96.0,10.0,10.0,10.0,cresh05,IRC_LIBRARY_1,30.375,10.40
90.0,10.0,10.0,10.0,cresh04,IRC_LIBRARY_1,28.75,11.2
122.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,28.5,11.22
79.0,10.0,10.0,10.0,cresh04,IRC_LIBRARY_1,28.125,11.34
90.0,10.0,10.0,10.0,cresh05,IRC_LIBRARY_1,30.25,11.38
90.0,10.0,10.0,10.0,cresh05,IRC_LIBRARY_1,30.25,11.38
65.0,10.0,10.0,10.0,cresh05,IRC_LIBRARY_1,30.125,12.1
83.0,10.0,10.0,10.0,cresh04,IRC_LIBRARY_1,27.625,12.20
82.0,9.0,10.0,10.0,cresh13,NEAR_DIC_STUDIO_1,29.0,12.38
108.0,10.0,10.0,10.0,cresh05,IRC_LIBRARY_1,30.125,13.37
100.0,11.0,10.0,10.0,cresh03,IRC_LIBRARY_1,28.5,13.44
87.0,10.0,10.0,10.0,cresh03,IRC_LIBRARY_1,28.625,13.53
93.0,10.0,10.0,10.0,cresh03,IRC_LIBRARY_1,28.5,13.54
67.0,10.0,10.0,10.0,cresh05,IRC_LIBRARY_1,29.875,13.58
70.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,27.0,14.1
94.0,10.0,11.0,10.0,cresh03,IRC_LIBRARY_1,28.375,14.7
68.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,28.125,14.16
66.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,29.0,14.31
90.0,11.0,10.0,10.0,cresh03,IRC_LIBRARY_1,28.75,14.41
62.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,28.5,14.46
105.0,10.0,10.0,11.0,cresh14,NEAR_DIC_STUDIO_1,28.375,14.57
65.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.375,15.16
65.0,10.0,10.0,10.0,cresh05,IRC_LIBRARY_1,29.75,15.27
62.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.125,15.31
80.0,10.0,10.0,10.0,cresh05,IRC_LIBRARY_1,29.75,15.38
64.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,28.0,15.46
66.0,10.0,10.0,10.0,cresh06,BUILDING_MATERIALS_LAB,28.25,16.1
96.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,28.75,16.5
82.0,10.0,10.0,10.0,cresh04,IRC_LIBRARY_1,28.75,16.5
64.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.375,16.16
65.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,28.375,16.16
90.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,29.125,16.22
64.0,10.0,10.0,9.0,cresh06,BUILDING_MATERIALS_LAB,27.875,16.31
88.0,10.0,10.0,10.0,cresh14,NEAR_DIC_STUDIO_1,29.375,16.39
107.0,10.0,10.0,11.0,cresh06,OPEN_EXHIBITION_SPACE_2,28.875,16.53
79.0,10.0,10.0,11.0,cresh06,IRC_LIBRARY_1,30.75,17.3
