light_cozie,noise_cozie,thermal_cozie,user_id,humidity_sensing,light_sensing,noise_sensing,temperature_sensing,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos
10.0,10.0,10.0,cresh01,71.7831,98.0,68.0,28.1606,-0.34202014332566866,-0.9396926207859084,0.9749279121818236,-0.22252093395631434
10.0,11.0,10.0,cresh15,61.8742,362.0,50.0,27.2342,-0.35836794954530043,-0.9335804264972016,0.9749279121818236,-0.22252093395631434
10.0,10.0,11.0,cresh02,61.8913,351.0,49.0,27.2489,-0.36650122672429736,-0.9304175679820245,0.9749279121818236,-0.22252093395631434
11.0,10.0,9.0,cresh03,61.8633,336.0,47.0,27.2489,-0.374606593415912,-0.9271838545667874,0.9749279121818236,-0.22252093395631434
9.0,10.0,10.0,cresh01,72.0376,90.0,70.0,28.0573,-0.38671096163682067,-0.9222009716704518,0.9749279121818236,-0.22252093395631434
10.0,10.0,10.0,cresh07,68.282,53.0,47.0,25.9864,-0.3987490689252463,-0.917060074385124,0.9749279121818236,-0.22252093395631434
10.0,10.0,11.0,cresh05,61.8049,326.0,48.0,27.3215,-0.410718852613477,-0.9117620435770887,0.9749279121818236,-0.22252093395631434
10.0,11.0,10.0,cresh15,61.8669,313.0,50.0,27.3668,-0.4305110968082953,-0.9025852843498605,0.9749279121818236,-0.22252093395631434
10.0,11.0,10.0,cresh01,61.7939,296.0,53.0,27.4121,-0.4500984410374351,-0.8929789434111369,0.9749279121818236,-0.22252093395631434
10.0,11.0,11.0,cresh02,61.8183,354.0,55.0,27.3521,-0.47331966718484325,-0.8808907382053857,0.9749279121818236,-0.22252093395631434
10.0,11.0,10.0,cresh15,61.7112,400.0,51.0,27.4121,-0.4962165036752082,-0.8681988144891423,0.9749279121818236,-0.22252093395631434
10.0,11.0,10.0,cresh14,59.8474,86.0,46.0,26.5287,-0.5075383629607042,-0.8616291604415257,0.9749279121818236,-0.22252093395631434
10.0,10.0,10.0,cresh01,61.8183,387.0,49.0,27.3805,-0.5112930860770519,-0.8594064115014528,0.9749279121818236,-0.22252093395631434
10.0,10.0,10.0,cresh03,52.0308,238.0,43.0,25.0525,-0.5409744713679938,-0.8410390129643925,0.9749279121818236,-0.22252093395631434
